timestamp,type,radio_band,ch,seq,tx_addr,is_virtual_mac,info_element,rssi_vec_len,rssi@entrance,x,y
1689749683075,PROBE_REQUEST,5,36,1623,7E27AEB75AF3,True,000001080C1218243048606C2D1A6F0017FF000000000000000000000000000000000000000000007F0800000884000000406B070FFFFFFFFFFFFFBF0C3230800FFEFF0000FEFF0000,1,-58,nan,nan
1689749683095,PROBE_REQUEST,5,36,1624,7E27AEB75AF3,True,000001080C1218243048606C2D1A6F0017FF000000000000000000000000000000000000000000007F0800000884000000406B070FFFFFFFFFFFFFBF0C3270800FFEFF0000FEFF0000,1,-58,nan,nan
1689749683532,PROBE_REQUEST,5,36,2518,16F81CFBA1CD,True,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000088400000040BF0C3270800FFEFF0000FEFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-61,nan,nan
1689749683552,PROBE_REQUEST,5,36,2519,16F81CFBA1CD,True,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000088400000040BF0C3270800FFEFF0000FEFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-60,nan,nan
1689749684533,PROBE_REQUEST,5,36,3419,12701FD8F547,False,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000080400000040BF0C3270800FFEFF0000FEFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-49,nan,nan
1689749684588,PROBE_REQUEST,5,36,1568,12701FD8F547,False,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000080400000040BF0C3270800FFEFF0000FEFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-47,nan,nan
1689749684609,PROBE_REQUEST,5,36,2775,22FBAB2BD685,True,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000080400000040BF0C3270810FFAFF0000FAFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-52,nan,nan
1689749684629,PROBE_REQUEST,5,36,2776,22FBAB2BD685,True,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000080400000040BF0C3270810FFAFF0000FAFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-51,nan,nan
1689749687154,PROBE_REQUEST,5,36,2516,DAA1197C1680,True,000001088C129824B048606C,1,-58,nan,nan
1689749687156,PROBE_REQUEST,5,36,2517,DAA1197C1680,True,000001088C129824B048606C,1,-58,nan,nan
1689749692734,PROBE_REQUEST,5,36,3105,982CBC126B23,False,000001080C1218243048606C2D1AE70917FFFF000000000000000000000000000000000000000000BF0CB1799103FAFF0000FAFF0000,1,-64,nan,nan
1689749696266,PROBE_REQUEST,5,36,528,D2E9E652F64C,False,000001080C1218243048606C2D1A6F0017FF000000000000000000000000000000000000000000007F0800000884000000406B070FFFFFFFFFFFFFBF0C3210800FFEFF0000FEFF0000,1,-57,nan,nan
1689749696288,PROBE_REQUEST,5,36,529,D2E9E652F64C,False,000001080C1218243048606C2D1A6F0017FF000000000000000000000000000000000000000000007F0800000884000000406B070FFFFFFFFFFFFFBF0C3270800FFEFF0000FEFF0000,1,-57,nan,nan
1689749696292,PROBE_REQUEST,5,36,4028,D69660AF4B80,True,000001080C1218243048606C2D1A6F0017FF000000000000000000000000000000000000000000007F0800000884000000406B070FFFFFFFFFFFFFBF0C3210800FFEFF0000FEFF0000,1,-56,nan,nan
1689749696314,PROBE_REQUEST,5,36,4029,D69660AF4B80,True,000001080C1218243048606C2D1A6F0017FF000000000000000000000000000000000000000000007F0800000884000000406B070FFFFFFFFFFFFFBF0C3270800FFEFF0000FEFF0000,1,-56,nan,nan
1689749697716,PROBE_REQUEST,5,36,3991,0A2C98B3B244,False,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000088400000040BF0C3270800FFEFF0000FEFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-62,nan,nan
1689749697737,PROBE_REQUEST,5,36,3992,0A2C98B3B244,False,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000088400000040BF0C3270800FFEFF0000FEFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-59,nan,nan
1689749698661,PROBE_REQUEST,5,36,2815,A207E6B10A11,False,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000080400000040BF0C3270810FFAFF0000FAFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-53,nan,nan
1689749698681,PROBE_REQUEST,5,36,2816,A207E6B10A11,False,000001088C129824B048606C2D1A6F001BFF000000000000000000000000000000000000000000007F080000080400000040BF0C3270810FFAFF0000FAFF0000FF1C23010808000080443002001D009F08000C00FEFFFEFF391CC7711C07,1,-55,nan,nan
1689749699955,PROBE_REQUEST,5,36,1350,8C554ABCCDCF,True,000001080C1218243048606C2D1AEF0917FFFF000000000000000000000000000000000000000000BF0CB1799103FAFF0000FAFF0000,1,-92,nan,nan
1689749701270,PROBE_REQUEST,5,36,3117,DAA11977C30A,False,000001088C129824B048606C,1,-59,nan,nan
1689749701270,PROBE_REQUEST,5,36,3118,DAA11977C30A,False,000001088C129824B048606C,1,-59,nan,nan
1689749703552,PROBE_REQUEST,5,36,3128,982CBC126B23,False,000001080C1218243048606C2D1AE70917FFFF000000000000000000000000000000000000000000BF0CB1799103FAFF0000FAFF0000,1,-71,nan,nan
1689749707024,PROBE_REQUEST,5,36,667,3868A4A4A66C,False,000001080C1218243048606CDD070050F2080019007F09040000000000004080DD7F0050F204104A000110103A00010010080002428810470010A2EEAB32726B511BA76A716505C8F545105400080001708FD0E10002103C0001031002000200001009000200001012000200001021000753616D73756E67102300054861776B6D10240004353530301011000A53616D73756E672D54561049000600372A000120DD0D506F9A0A000006000000000000DD080000F00F00020801DD11506F9A09020200250006050058580451012D1AEF011FFFFF000000000000000000000000000000000000000000BF0CB2018033FAFF0C03FAFF0C03,1,-83,nan,nan
1689749707065,PROBE_REQUEST,5,36,668,3868A4A4A66C,False,000001080C1218243048606CDD070050F2080019007F09040000000000004080DD7F0050F204104A000110103A00010010080002428810470010A2EEAB32726B511BA76A716505C8F545105400080001708FD0E10002103C0001031002000200001009000200001012000200001021000753616D73756E67102300054861776B6D10240004353530301011000A53616D73756E672D54561049000600372A000120DD0D506F9A0A000006000000000000DD080000F00F00020801DD11506F9A09020200250006050058580451012D1AEF011FFFFF000000000000000000000000000000000000000000BF0CB2018033FAFF0C03FAFF0C03,1,-81,nan,nan
