,basic,basic,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,seq,rssi
,timestamp,tx_addr,ie0,ie1,ie2,ie3,ie4,ie5,ie6,ie7,ie8,ie9,ie10,ie11,ie12,ie13,ie14,ie15,ie16,ie32,ie33,ie34,ie35,ie36,ie37,ie38,ie39,ie40,ie41,ie42,ie43,ie44,ie46,ie48,ie50,ie127,ie221,seq,entrance
358,1689750100928,38DEADA1E447,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2894,-75
371,1689750106960,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3971,-68
377,1689750111382,3868A4A4A638,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040000000000004080,0050f2080019000050f204104a000110103a0001001008000242881047001093b2485d9f0e5ebcbaeb64fb08b907c6105400080001708fd0e10002103c0001031002000200001009000200001012000200001021000753616d73756e67102300054861776b6d10240004353530301011000a53616d73756e672d54561049000600372a000120506f9a0a0000060000000000000000f00f00020801506f9a0902020025000605005858045101,1928,-78
383,1689750117773,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3994,-64
401,1689750128353,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4017,-69
412,1689750141166,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4041,-64
420,1689750148020,3868A4A4A66C,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040000000000004080,0050f2080019000050f204104a000110103a00010010080002428810470010a2eeab32726b511ba76a716505c8f545105400080001708fd0e10002103c0001031002000200001009000200001012000200001021000753616d73756e67102300054861776b6d10240004353530301011000a53616d73756e672d54561049000600372a000120506f9a0a0000060000000000000000f00f00020801506f9a0902020025000605005858045101,975,-83
428,1689750152069,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4065,-67
435,1689750160703,38DEADA1E447,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2924,-80
442,1689750162955,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089,-65
448,1689750173758,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,-66
451,1689750174376,3868A4A4A638,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040000000000004080,0050f2080019000050f204104a000110103a0001001008000242881047001093b2485d9f0e5ebcbaeb64fb08b907c6105400080001708fd0e10002103c0001031002000200001009000200001012000200001021000753616d73756e67102300054861776b6d10240004353530301011000a53616d73756e672d54561049000600372a000120506f9a0a0000060000000000000000f00f00020801506f9a0902020025000605005858045101,1972,-83
465,1689750184350,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,-64
476,1689750197228,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,-71
488,1689750208075,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,-62
491,1689750211017,3868A4A4A66C,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040000000000004080,0050f2080019000050f204104a000110103a00010010080002428810470010a2eeab32726b511ba76a716505c8f545105400080001708fd0e10002103c0001031002000200001009000200001012000200001021000753616d73756e67102300054861776b6d10240004353530301011000a53616d73756e672d54561049000600372a000120506f9a0a0000060000000000000000f00f00020801506f9a0902020025000605005858045101,1019,-81
507,1689750218892,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,-68
508,1689750220930,38DEADA1E447,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2955,-79
519,1689750229829,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,-64
526,1689750237379,3868A4A4A638,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040000000000004080,0050f2080019000050f204104a000110103a0001001008000242881047001093b2485d9f0e5ebcbaeb64fb08b907c6105400080001708fd0e10002103c0001031002000200001009000200001012000200001021000753616d73756e67102300054861776b6d10240004353530301011000a53616d73756e672d54561049000600372a000120506f9a0a0000060000000000000000f00f00020801506f9a0902020025000605005858045101,2016,-83
528,1689750240425,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,-68
546,1689750253315,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,-64
559,1689750264137,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,-68
569,1689750274020,3868A4A4A66C,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040000000000004080,0050f2080019000050f204104a000110103a00010010080002428810470010a2eeab32726b511ba76a716505c8f545105400080001708fd0e10002103c0001031002000200001009000200001012000200001021000753616d73756e67102300054861776b6d10240004353530301011000a53616d73756e672d54561049000600372a000120506f9a0a0000060000000000000000f00f00020801506f9a0902020025000605005858045101,1063,-83
571,1689750275410,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,-63
582,1689750280932,38DEADA1E447,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2985,-78
592,1689750286268,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,-66
600,1689750297053,982CBC126B23,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,-64
605,1689750300377,3868A4A4A638,,0c1218243048606c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040000000000004080,0050f2080019000050f204104a000110103a0001001008000242881047001093b2485d9f0e5ebcbaeb64fb08b907c6105400080001708fd0e10002103c0001031002000200001009000200001012000200001021000753616d73756e67102300054861776b6d10240004353530301011000a53616d73756e672d54561049000600372a000120506f9a0a0000060000000000000000f00f00020801506f9a0902020025000605005858045101,12,-83
